boot_epoch,sequence_number,timestamp,vbat_mv,dps368_temp_c,source_flag
3090751706,165,2026-08-01T00:29:31.000+01:00,3862,32.278038024902344,live
3090751706,166,2026-08-01T00:29:41.000+01:00,3868,32.26811981201172,live
3090751706,167,2026-08-01T00:29:51.000+01:00,3858,32.30413055419922,live
3090751706,168,2026-08-01T00:30:01.000+01:00,3833,32.29902648925781,live
3090751706,169,2026-08-01T00:30:11.000+01:00,3865,32.32256317138672,live
3090751706,170,2026-08-01T00:30:21.000+01:00,3852,32.34864807128906,live
3090751706,171,2026-08-01T00:30:31.000+01:00,3834,32.36622619628906,live
3090751706,172,2026-08-01T00:30:41.000+01:00,3854,32.386924743652344,live
3090751706,173,2026-08-01T00:30:51.000+01:00,3860,32.41131591796875,live
3090751706,174,2026-08-01T00:31:01.000+01:00,3842,32.38890838623047,live
3090751706,175,2026-08-01T00:31:11.000+01:00,3852,32.38636016845703,live
3090751706,176,2026-08-01T00:31:21.000+01:00,3842,32.40422821044922,live
3090751706,177,2026-08-01T00:31:31.000+01:00,3839,32.45044708251953,live
3090751706,178,2026-08-01T00:31:41.000+01:00,3852,32.45185852050781,buffered
3090751706,179,2026-08-01T00:31:51.000+01:00,3847,32.468017578125,buffered
3090751706,180,2026-08-01T00:32:01.000+01:00,3828,32.47029113769531,buffered
3090751706,181,2026-08-01T00:32:11.000+01:00,3863,32.4705810546875,buffered
3090751706,182,2026-08-01T00:32:21.000+01:00,3852,32.48021697998047,buffered
3090751706,183,2026-08-01T00:32:31.000+01:00,3847,32.49835968017578,buffered
3090751706,184,2026-08-01T00:32:41.000+01:00,3860,32.504600524902344,buffered
3090751706,185,2026-08-01T00:32:51.000+01:00,3860,32.540611267089844,buffered
3090751706,186,2026-08-01T00:33:01.000+01:00,3857,32.56159210205078,buffered
3090751706,187,2026-08-01T00:33:11.000+01:00,3836,32.58229064941406,buffered
3090751706,188,2026-08-01T00:33:21.000+01:00,3847,32.58201599121094,buffered
3090751706,189,2026-08-01T00:33:31.000+01:00,3844,32.5751953125,buffered
3090751706,190,2026-08-01T00:33:41.000+01:00,3854,32.59477233886719,live
3090751706,191,2026-08-01T00:33:51.000+01:00,3842,32.60270690917969,live
3090751706,192,2026-08-01T00:34:01.000+01:00,3847,32.621131896972656,live
3090751706,193,2026-08-01T00:34:11.000+01:00,3858,32.61376953125,live
3090751706,194,2026-08-01T00:34:20.000+01:00,3842,32.63843536376953,live
3090751706,195,2026-08-01T00:34:31.000+01:00,3854,32.63304901123047,live
3090751706,196,2026-08-01T00:34:41.000+01:00,3828,32.640708923339844,live
3090751706,197,2026-08-01T00:34:51.000+01:00,3844,32.647789001464844,live
3090751706,198,2026-08-01T00:35:01.000+01:00,3838,32.694580078125,live
3090751706,199,2026-08-01T00:35:11.000+01:00,3834,32.70507049560547,live
3090751706,200,2026-08-01T00:35:21.000+01:00,3842,32.682952880859375,live
3090751706,201,2026-08-01T00:35:31.000+01:00,3841,32.730873107910156,live
3090751706,202,2026-08-01T00:35:41.000+01:00,3825,32.74079895019531,live
3090751706,203,2026-08-01T00:35:51.000+01:00,3844,32.720664978027344,live
3090751706,204,2026-08-01T00:36:01.000+01:00,3842,32.74164581298828,live
3090751706,205,2026-08-01T00:36:11.000+01:00,3828,32.748451232910156,live
3090751706,206,2026-08-01T00:36:21.000+01:00,3839,32.76490020751953,live
3090751706,207,2026-08-01T00:36:31.000+01:00,3834,32.757530212402344,live
3090751706,208,2026-08-01T00:36:41.000+01:00,3839,31.96074676513672,live
3090751706,209,2026-08-01T00:36:51.000+01:00,3838,31.94146728515625,live
3090751706,210,2026-08-01T00:37:01.000+01:00,3834,31.40613555908203,live
3090751706,211,2026-08-01T00:37:11.000+01:00,3839,30.818328857421875,live
3090751706,212,2026-08-01T00:37:21.000+01:00,3844,30.851791381835938,live
3090751706,213,2026-08-01T00:37:31.000+01:00,3838,30.489418029785156,live
3090751706,214,2026-08-01T00:37:41.000+01:00,3834,30.101516723632812,live
3090751706,215,2026-08-01T00:37:51.000+01:00,3839,30.166732788085938,live
3090751706,216,2026-08-01T00:38:01.000+01:00,3833,29.913246154785156,live
3090751706,217,2026-08-01T00:38:11.000+01:00,3834,29.640182495117188,live
3090751706,218,2026-08-01T00:38:21.000+01:00,3839,29.743118286132812,live
3090751706,219,2026-08-01T00:38:31.000+01:00,3842,29.618072509765625,live
3090751706,220,2026-08-01T00:38:41.000+01:00,3833,29.405410766601562,live
3090751706,221,2026-08-01T00:38:51.000+01:00,3834,29.515419006347656,live
3090751706,222,2026-08-01T00:39:01.000+01:00,3839,29.4351806640625,live
3090751706,223,2026-08-01T00:39:11.000+01:00,3842,29.290855407714844,live
3090751706,224,2026-08-01T00:39:21.000+01:00,3817,29.38641357421875,live
3090751706,225,2026-08-01T00:39:31.000+01:00,3842,29.337646484375,live
3090751706,226,2026-08-01T00:39:41.000+01:00,3834,29.19670867919922,live
3090751706,227,2026-08-01T00:39:51.000+01:00,3815,29.285743713378906,live
3090751706,228,2026-08-01T00:40:01.000+01:00,3842,29.258529663085938,live
3090751706,229,2026-08-01T00:40:11.000+01:00,3831,29.144264221191406,live
3090751706,230,2026-08-01T00:40:21.000+01:00,3812,29.214859008789062,live
3090751706,231,2026-08-01T00:40:31.000+01:00,3831,29.202957153320312,live
3090751706,232,2026-08-01T00:40:41.000+01:00,3842,29.084144592285156,live
3090751706,233,2026-08-01T00:40:51.000+01:00,3817,29.142837524414062,live
3090751706,234,2026-08-01T00:41:01.000+01:00,3834,29.135467529296875,live
3090751706,235,2026-08-01T00:41:11.000+01:00,3833,29.052108764648438,live
3090751706,236,2026-08-01T00:41:21.000+01:00,3813,29.08953094482422,live
3090751706,237,2026-08-01T00:41:31.000+01:00,3842,29.10485076904297,live
3090751706,238,2026-08-01T00:41:41.000+01:00,3818,29.02459716796875,live
3090751706,239,2026-08-01T00:41:51.000+01:00,3826,29.054656982421875,live
3090751706,240,2026-08-01T00:42:01.000+01:00,3842,29.080459594726562,live
3090751706,241,2026-08-01T00:42:11.000+01:00,3825,28.995681762695312,live
3090751706,242,2026-08-01T00:42:21.000+01:00,3826,29.010704040527344,live
