segment_id,line_name,group,station_id,station_name,platform_regime,line_regime,dwell_s,n_samples,pm25_mean,pm25_median,pm25_peak,pm10_mean,co2_mean
S01,Central,quieter,940GZZLUSTD,Stratford,open_air,deep_tube_open,320.0,31,12.866916841076266,12.861676216125488,18.47300910949707,12.892677460947345,678.741935483871
S01,Central,quieter,940GZZLUMED,Mile End,underground_no_psd,deep_tube_open,180.0,18,101.98213280571832,103.58654022216797,110.67594146728516,117.9232046339247,643.2777777777778
S01,Central,quieter,940GZZLUBLG,Bethnal Green,underground_no_psd,deep_tube_open,170.0,17,113.12312877879424,129.253173828125,151.6074981689453,130.35990501852598,663.5294117647059
S01,Central,quieter,940GZZLULVT,Liverpool Street,underground_no_psd,deep_tube_open,190.0,19,78.7747140181692,85.6780014038086,100.096923828125,88.98260799207185,735.0
S01,Central,quieter,940GZZLUBNK,Bank,underground_no_psd,deep_tube_open,170.0,17,101.28561580882354,101.4529800415039,107.395751953125,117.53082679299747,915.3529411764706
S01,Central,quieter,940GZZLUSPU,St. Paul's,underground_no_psd,deep_tube_open,180.0,11,101.44176899303089,100.2238311767578,122.60508728027344,117.44096929376775,798.0909090909091
S01,Central,quieter,940GZZLUCHL,Chancery Lane,underground_no_psd,deep_tube_open,170.0,17,115.68371671788833,130.3114013671875,142.32550048828125,134.3156765208525,750.3529411764706
S01,Central,quieter,940GZZLUHBN,Holborn,underground_no_psd,deep_tube_open,160.0,16,109.6837568283081,113.31754684448242,131.5778045654297,127.0557222366333,737.75
S01,Central,quieter,940GZZLUTCR,Tottenham Court Road,underground_no_psd,deep_tube_open,180.0,17,131.29134189381318,134.98944091796875,150.03419494628906,153.39479738123276,784.5882352941177
S01,Central,quieter,940GZZLUOXC,Oxford Circus,underground_no_psd,deep_tube_open,650.0,64,127.38300740718842,129.48834991455078,147.81935119628906,147.9201672077179,988.671875
S01,Central,quieter,940GZZLUBND,Bond Street,underground_no_psd,deep_tube_open,220.0,22,84.9657034440474,95.46027374267578,115.7528305053711,92.91081289811568,1233.6363636363637
S02,Jubilee,quieter,940GZZLUSTD,Stratford,open_air,mixed,90.0,9,2.569269206788805,2.5496163368225098,3.3259685039520264,2.6412735515170627,682.0
S02,Jubilee,quieter,940GZZLUWHM,West Ham,open_air,mixed,180.0,18,2.374592383693163,2.060907006263733,4.782308578491211,2.588522560088528,662.6111111111111
S02,Jubilee,quieter,940GZZLUCGT,Canning Town,open_air,mixed,190.0,19,3.02748914141404,2.4821770191192627,7.638513088226318,3.3398478470350565,565.578947368421
S02,Jubilee,quieter,940GZZLUNGW,North Greenwich,train_height_psd,mixed,161.0,12,21.100856860478718,22.15282917022705,30.955368041992188,26.958650430043537,520.9166666666666
S02,Jubilee,quieter,940GZZLUCYF,Canary Wharf,train_height_psd,mixed,90.0,7,34.31893103463309,34.129940032958984,45.05608749389648,43.16358866010393,716.0
S02,Jubilee,quieter,940GZZLUCWR,Canada Water,train_height_psd,mixed,110.0,9,30.731799019707573,31.46035385131836,40.14247512817383,36.86718432108561,547.6666666666666
S02,Jubilee,quieter,940GZZLUBMY,Bermondsey,train_height_psd,mixed,130.0,12,16.372854709625244,16.201457977294922,28.446754455566406,19.430153846885172,558.75
S02,Jubilee,quieter,940GZZLULNB,London Bridge,train_height_psd,mixed,151.0,13,47.59295566224985,45.56041336,70.00218963623047,56.512520423610276,646.4615384615385
S02,Jubilee,quieter,940GZZLUSWK,Southwark,train_height_psd,mixed,310.0,31,47.209280936827746,48.613677978515625,66.62242889404297,56.40617567469412,635.8387096774194
S02,Jubilee,quieter,940GZZLUWLO,Waterloo,train_height_psd,mixed,110.0,11,61.3001226946724,63.36920166015625,65.96277618408203,74.02467450270153,782.0909090909091
S02,Jubilee,quieter,940GZZLUWSM,Westminster,train_height_psd,mixed,150.0,15,57.05932846036589,58.47032928466797,73.85047912597656,68.75991846720378,660.5333333333333
S02,Jubilee,quieter,940GZZLUGPK,Green Park,underground_no_psd,mixed,240.0,22,59.55227106262073,57.83505439758301,91.49963379,72.01226823964667,723.3636363636364
S02,Jubilee,quieter,940GZZLUBND,Bond Street,underground_no_psd,mixed,129.0,13,114.75224069304387,112.6271743774414,162.37928771972656,140.218728874369,874.7692307692307
S03,Elizabeth,busier,910GPADTLL,Paddington,full_psd,full_psd_line,70.0,7,7.53015170778547,7.885767936706543,10.43697738647461,8.018891334533691,1316.5714285714287
S03,Elizabeth,busier,910GBONDST,Bond Street,full_psd,full_psd_line,190.0,19,6.14105711480912,6.278259277,8.738517761230469,6.430678530763576,711.578947368421
S03,Elizabeth,busier,910GTOTCTRD,Tottenham Court Road,full_psd,full_psd_line,180.0,18,9.891677326626247,10.162452220916748,11.956313133239746,10.28570908993266,749.7222222222222
S03,Elizabeth,busier,910GFRNDXR,Farringdon,full_psd,full_psd_line,190.0,19,17.876126992577483,18.522445678710938,24.859134674072266,19.58580237922646,879.4736842105264
S03,Elizabeth,busier,910GLIVSTLL,Liverpool Street,full_psd,full_psd_line,580.0,57,24.956681602802306,24.983722686767575,36.38557815551758,28.274961003006272,1054.5087719298247
S03,Elizabeth,busier,910GWCHAPXR,Whitechapel,full_psd,full_psd_line,150.0,15,4.977591307957967,4.311533451080322,10.427142143249512,5.564877827962239,1059.1333333333334
S03,Elizabeth,busier,910GCANWHRF,Canary Wharf,full_psd,full_psd_line,130.0,12,7.983058532097534,8.032900094985962,9.180339813232422,8.440286954243978,1011.3333333333334
S03,Elizabeth,busier,910GCUSTMHS,Custom House,open_air,full_psd_line,90.0,9,4.292399220985555,3.299391746520996,9.663694381713867,4.563036362314657,872.6666666666666
S04,Jubilee,busier,940GZZLUBND,Bond Street,underground_no_psd,mixed,200.0,20,72.38956718457031,73.60239791870117,107.36711120605467,91.4360269549292,832.1
S04,Jubilee,busier,940GZZLUGPK,Green Park,underground_no_psd,mixed,240.0,24,69.22849114763754,70.1745834350586,89.22728729248047,87.5189266210018,996.0416666666666
S04,Jubilee,busier,940GZZLUWSM,Westminster,train_height_psd,mixed,100.0,10,41.7490112300625,39.633195877075195,53.12955474853515,50.886826705620116,1108.7
S04,Jubilee,busier,940GZZLUWLO,Waterloo,train_height_psd,mixed,90.0,9,69.13934199014649,76.32730865478516,85.02483367919922,85.38432015208875,1090.7777777777778
S04,Jubilee,busier,940GZZLUSWK,Southwark,train_height_psd,mixed,80.0,8,28.623760223619385,29.660568237304688,34.93892288208008,33.0567626953125,825.875
S04,Jubilee,busier,940GZZLULNB,London Bridge,train_height_psd,mixed,50.0,5,31.593709564208986,28.47476577758789,43.44218444824219,37.245198058025395,1074.0
S04,Jubilee,busier,940GZZLUBMY,Bermondsey,train_height_psd,mixed,80.0,8,57.84468555427368,57.02584648040039,75.49435424804688,70.97630882244385,932.5
S04,Jubilee,busier,940GZZLUCWR,Canada Water,train_height_psd,mixed,100.0,10,43.28219108581543,40.279659271240234,60.485816955566406,51.97793807983398,788.0
S04,Jubilee,busier,940GZZLUCYF,Canary Wharf,train_height_psd,mixed,130.0,13,53.99160355744516,48.50220489501953,76.7795639,63.62545072088717,697.5384615384615
S04,Jubilee,busier,940GZZLUNGW,North Greenwich,train_height_psd,mixed,310.0,31,12.069090350966105,7.278423309326172,49.603607177734375,13.645315570239116,674.8709677419355
S04,Jubilee,busier,940GZZLUCGT,Canning Town,open_air,mixed,100.0,10,11.655764770473265,7.358728647046631,40.480369567871094,13.815429735221509,827.3
S04,Jubilee,busier,940GZZLUWHM,West Ham,open_air,mixed,480.0,45,6.3467982821787325,5.910065650939941,12.196955680847168,6.801838837735967,684.1111111111111
S04,Jubilee,busier,940GZZLUSTD,Stratford,open_air,mixed,100.0,10,4.46222574710846,2.996370315551758,12.373626708984377,5.046740412712097,682.5
S05,Northern,quieter,940GZZLUEUS,Euston,underground_no_psd,deep_tube_open,120.0,12,233.29889678955078,235.34500122070312,273.90643310546875,317.59315236409503,943.75
S05,Northern,quieter,940GZZLUWRR,Warren Street,underground_no_psd,deep_tube_open,420.0,42,186.15520876929872,178.9189224243164,290.98291015625,253.81361243838356,799.2619047619048
S05,Northern,quieter,940GZZLUGDG,Goodge Street,underground_no_psd,deep_tube_open,179.0,18,232.97237311469183,235.7653350830078,247.6244354248047,310.6208318074544,879.3888888888889
S05,Northern,quieter,940GZZLUTCR,Tottenham Court Road,underground_no_psd,deep_tube_open,140.0,14,234.5784868512835,231.37653350830078,258.1025695800781,304.0091247558594,955.7857142857143
S05,Northern,quieter,940GZZLULSQ,Leicester Square,underground_no_psd,deep_tube_open,110.0,11,205.84101035378197,205.2131805419922,236.98179626464844,268.8019187233665,971.5454545454545
S05,Northern,quieter,940GZZLUCHX,Charing Cross,underground_no_psd,deep_tube_open,89.0,9,205.09912278917102,204.7990264892578,216.8847198486328,270.9034593370226,924.4444444444445
S05,Northern,quieter,940GZZLUEMB,Embankment,underground_no_psd,deep_tube_open,410.0,38,186.98312618857935,217.96615600585938,247.72964477539065,247.46720524838096,867.2105263157895
S05,Northern,quieter,940GZZLUWLO,Waterloo,underground_no_psd,deep_tube_open,169.0,17,149.4606009090648,153.36386108398438,164.8766326904297,193.47361396340762,823.1176470588235
S05,Northern,quieter,940GZZLUKNG,Kennington,underground_no_psd,deep_tube_open,180.0,16,203.12549781799316,202.9111099243164,219.59275817871097,266.83210277557373,691.8125
S06,Victoria,quieter,940GZZLUSKW,Stockwell,underground_no_psd,deep_tube_open,80.0,8,236.72535133361816,233.1598663330078,257.691650390625,303.2597312927246,595.375
S06,Victoria,quieter,940GZZLUVXL,Vauxhall,underground_no_psd,deep_tube_open,140.0,14,156.06650815691268,121.73583221435545,241.0909881591797,198.99348177228654,588.0
S06,Victoria,quieter,940GZZLUPCO,Pimlico,underground_no_psd,deep_tube_open,320.0,32,112.11405462026596,136.4321517944336,202.51889038085935,141.35072493553162,550.375
S06,Victoria,quieter,940GZZLUVIC,Victoria,underground_no_psd,deep_tube_open,120.0,12,116.13899040222168,82.4185905456543,223.98838806152344,148.42267735799155,734.75
S06,Victoria,quieter,940GZZLUGPK,Green Park,underground_no_psd,deep_tube_open,200.0,20,159.88404502868653,162.74610137939453,214.86642456054688,201.14209671020507,713.3
S06,Victoria,quieter,940GZZLUOXC,Oxford Circus,underground_no_psd,deep_tube_open,90.0,9,230.16624281141492,226.85194396972656,244.725341796875,297.18341742621527,900.8888888888889
S06,Victoria,quieter,940GZZLUWRR,Warren Street,underground_no_psd,deep_tube_open,90.0,9,239.35328504774304,257.6838073730469,279.7662353515625,308.5970916748047,851.4444444444445
S06,Victoria,quieter,940GZZLUEUS,Euston,underground_no_psd,deep_tube_open,80.0,8,197.11043739318848,216.5678253173828,225.5298309326172,256.187349319458,829.0
S07,Northern,busier,940GZZLUEUS,Euston,underground_no_psd,deep_tube_open,150.0,15,206.61490478515626,203.1310577392578,230.1221466064453,279.6632141113281,867.9333333333333
S07,Northern,busier,940GZZLUWRR,Warren Street,underground_no_psd,deep_tube_open,180.0,18,232.31739213731555,226.1912078857422,262.5431823730469,310.4891815185547,851.2777777777778
S07,Northern,busier,940GZZLUGDG,Goodge Street,underground_no_psd,deep_tube_open,270.0,27,265.17718788429545,257.3686828613281,306.2784423828125,352.401116265191,929.2222222222222
S07,Northern,busier,940GZZLUTCR,Tottenham Court Road,underground_no_psd,deep_tube_open,170.0,17,228.08291985006895,221.1039581298828,266.96490478515625,294.3830871582031,1050.1764705882354
