sequence_number,timestamp,pm1,pm25,pm10,co2,temperature,DPS_tem,humidity,pressure,pressure_change_pa_per_sec,nox,tvoc,voc_raw,nox_raw,source_flag,station_id,station_name,line_id,line_name,gps_lat,gps_lng
7839,2026-08-14T12:05:58.000+01:00,1.0593079328536987,1.1242493391036987,1.1293690204620361,705.0,22.695507049560547,24.73705291748047,46.471351623535156,1017.9929809570312,,1.0,87.0,32202,16293,buffered,,,,,,
7840,2026-08-14T12:06:08.000+01:00,1.0013644695281982,1.058904767036438,1.0589048862457275,679.0,22.6874942779541,24.74755096435547,46.28366470336914,1017.9884643554688,,1.0,87.0,32171,16288,buffered,,,,,,
7841,2026-08-14T12:06:18.000+01:00,0.9337780475616455,0.9874346852302551,0.9874348640441895,656.0,22.738231658935547,24.74329376220703,46.082244873046875,1017.9854125976562,,1.0,85.0,32287,16275,buffered,,,,,,
7842,2026-08-14T12:06:28.000+01:00,0.9852635860443115,1.0418787002563477,1.0418788194656372,633.0,22.740901947021484,24.783843994140625,45.949493408203125,1017.9953002929688,,1.0,88.0,32158,16274,buffered,,,,,,
7843,2026-08-14T12:06:38.000+01:00,0.8889107704162598,0.9399892687797546,0.9399893879890442,598.0,22.780956268310547,24.80652618408203,45.76333236694336,1017.990478515625,,1.0,91.0,32246,16273,buffered,,,,,,
7844,2026-08-14T12:06:48.000+01:00,0.8232969045639038,0.8706050515174866,0.8706051707267761,597.0,22.804988861083984,24.845657348632812,45.75570297241211,1017.9913940429688,,1.0,96.0,32180,16267,buffered,,,,,,
7845,2026-08-14T12:06:58.000+01:00,7.108588218688965,7.685292720794678,7.896835803985596,664.0,29.833295822143555,31.52124786376953,42.551307678222656,1013.615966796875,,,,65529,0,buffered,,,,,,
7846,2026-08-14T12:07:08.000+01:00,6.959833145141602,7.488080978393555,7.649443626403809,671.0,29.71847152709961,31.573143005371094,43.691158294677734,1013.600341796875,,0.0,0.0,26455,16152,live,,,,,51.54085938706011,-0.008715065232728263
7847,2026-08-14T12:07:18.000+01:00,7.508286952972412,8.077736854553223,8.2512788772583,678.0,29.665063858032227,31.638076782226562,44.87678527832031,1013.6085815429688,0.0823974609375,0.0,0.0,27324,15865,live,,,,,51.54085938706011,-0.008715065232728263
7848,2026-08-14T12:44:53.000+01:00,13.302641868591309,14.067035675048828,14.067038536071777,755.0,27.235065460205078,28.809669494628906,46.99778747558594,1014.73291015625,,,,30047,0,buffered,,,,,,
