sequence_number,timestamp,pm1,pm25,pm10,co2,temperature,humidity,pressure,pressure_change_pa_per_sec,nox,tvoc,voc_raw,nox_raw,source_flag,station_id,station_name,line_id,line_name,gps_lat,gps_lng
4382,2026-07-10T02:19:53.000+01:00,1.7117706537246704,1.825594186782837,1.8450373411178589,655.0,26.941329956054688,52.42237091064453,1016.103515625,,1.0,94.0,30801,16952,buffered,,,,,,
4383,2026-07-10T02:20:03.000+01:00,1.7225170135498047,1.823161005973816,1.8252546787261963,638.0,26.984054565429688,52.321659088134766,1016.1091918945312,,1.0,96.0,30802,16948,buffered,,,,,,
4384,2026-07-10T02:20:13.000+01:00,716.31005859375,757.9275512695312,758.5021362304688,758.0,30.073625564575195,50.33798599243164,1013.5632934570312,,,,30260,0,buffered,,,,,,
4385,2026-07-10T02:20:23.000+01:00,120.52986145019531,127.80452728271484,128.24314880371094,753.0,29.908063888549805,50.81864547729492,1013.5285034179688,,0.0,0.0,28855,17660,live,,,,,,
4386,2026-07-10T02:20:33.000+01:00,18.42180061340332,19.48607063293457,19.49325942993164,751.0,29.83863639831543,51.27641677856445,1013.5485229492188,,0.0,0.0,29620,17502,buffered,,,,,,
4387,2026-07-10T02:20:43.000+01:00,7.262890815734863,7.680473327636719,7.680779457092285,748.0,29.83863639831543,51.688411712646484,1013.5505981445312,,0.0,0.0,29952,17467,live,,,,,,
4388,2026-07-10T02:20:53.000+01:00,7.476702690124512,7.906355381011963,7.906389236450195,746.0,29.795909881591797,52.233158111572266,1013.5455322265625,0.0506591796875,0.0,0.0,30098,17453,live,,,,,,
4389,2026-07-10T02:21:03.000+01:00,7.295635223388672,7.714858531951904,7.714862823486328,743.0,29.787899017333984,52.8496208190918,1013.5446166992188,0.0091552734375,0.0,3.0,30154,17443,live,,,,,,
4390,2026-07-10T02:21:13.000+01:00,7.175466537475586,7.587784767150879,7.587789058685303,740.0,29.787899017333984,53.14412307739258,1013.5415649414062,0.030517578125,1.0,28.0,30278,17451,live,,,,,,
4391,2026-07-10T02:21:23.000+01:00,7.179203033447266,7.59173583984375,7.591740131378174,739.0,29.830625534057617,53.427940368652344,1013.5388793945312,0.02685546875,1.0,38.0,30364,17446,live,,,,,,
4392,2026-07-10T02:21:33.000+01:00,6.881955146789551,7.277407646179199,7.277411937713623,735.0,29.854658126831055,53.421836853027344,1013.5184326171875,0.2044677734375,1.0,45.0,30416,17438,live,,,,,,
4393,2026-07-10T02:21:43.000+01:00,6.158261299133301,6.512128829956055,6.51213264465332,731.0,29.884031295776367,53.539329528808594,1013.5170288085938,0.0140380859375,1.0,51.0,30439,17427,live,,,,,,
4394,2026-07-10T02:21:53.000+01:00,6.159072399139404,6.512986183166504,6.5129899978637695,730.0,29.969482421875,54.69291305541992,1013.5164794921875,0.0054931640625,1.0,60.0,30424,17417,live,,,,,,
4395,2026-07-10T02:22:03.000+01:00,5.667593955993652,5.9932661056518555,5.993269920349121,730.0,30.041580200195312,55.19340896606445,1013.54736328125,0.308837890625,1.0,70.0,30435,17439,live,,,,,,
4396,2026-07-10T02:22:13.000+01:00,5.12564754486084,5.420178413391113,5.420181751251221,729.0,30.070955276489258,54.83939743041992,1013.5493774414062,0.0201416015625,1.0,76.0,30474,17446,live,,,,,,
