sequence_number,timestamp,pm1,pm25,pm10,co2,temperature,DPS_tem,humidity,pressure,pressure_change_pa_per_sec,nox,tvoc,voc_raw,nox_raw,source_flag,station_id,station_name,line_id,line_name,gps_lat,gps_lng
4694,2026-08-07T01:52:20.000+01:00,3.1590898036956787,3.481698989868164,3.659102678,527,25.205615997314453,26.674827575683594,32.86945724487305,1021.0285034179688,,,,32351,0,live,,,,,51.540938869652905,-0.008273044
4695,2026-08-07T01:52:30.000+01:00,2.9421908855438232,3.2087907791137695,3.3314380645751953,525,25.12016487121582,26.711410522460938,33.26466751098633,1021.0291137695312,0.006103516,0,0,29342,15784,live,,,,,51.540938869652905,-0.008273044
4696,2026-08-07T01:52:40.000+01:00,3.0351786613464355,3.294631004333496,3.401571035385132,524,25.080110549926758,26.748550415039062,33.606468200683594,1021.0277099609375,0.014038086,0,0,30247,15764,live,,,,,51.540938869652905,-0.008273044
4697,2026-08-07T01:52:50.000+01:00,2.8169007301330566,3.0514745712280273,3.1429033279418945,524,25.0213623,26.776336669921875,33.79110336303711,1021.0277099609375,0,0,0,30730,15811,live,,,,,51.540938869652905,-0.008273044
4698,2026-08-07T01:53:00.000+01:00,2.7409415245056152,2.950988292694092,3.0170633792877197,524,24.954605102539062,26.83531951904297,33.914703369140625,1021.0310668945312,0.033569336,0,0,31030,15854,live,,,,,51.540938869652905,-0.008273044
4699,2026-08-07T01:53:10.000+01:00,2.8797686100006104,3.108842611312866,3.1888132095336914,524,24.941253662109375,26.88153839111328,33.974212646484375,1021.0321655273438,0.010986328,0,4,31234,15901,live,,,,,51.540938869652905,-0.008273044
4700,2026-08-07T01:53:20.000+01:00,3.069498300552368,3.3161699771881104,3.404559850692749,524,24.914548873901367,26.92321777,34.084075927734375,1021.031494140625,0.006713867,1,19,31390,15932,live,,,,,51.540938869652905,-0.008273044
4701,2026-08-07T01:53:30.000+01:00,2.820032835006714,3.0389416217803955,3.110445499420166,523,24.938583374023438,26.971420288085938,34.119171142578125,1021.029541015625,0.01953125,1,27,31530,15962,live,,,,,51.540938869652905,-0.008273044
4702,2026-08-07T01:53:40.000+01:00,2.8065578937530518,3.011659622192383,3.066776752471924,522,24.951934814453125,27.02387237548828,34.18936538696289,1021.0342407226562,0.04699707,1,30,31626,16002,live,,,,,51.540938869652905,-0.008273044
4703,2026-08-07T01:53:50.000+01:00,2.5449793338775635,2.727407932281494,2.772914409637451,521,24.941253662109375,27.06811523,34.23514175415039,1021.032470703125,0.017700195,1,33,31717,16032,live,,,,,51.540938869652905,-0.008273044
4704,2026-08-07T01:54:00.000+01:00,2.6426639556884766,2.8274166584014893,2.8687877655029297,519,25.016021728515625,27.09618377685547,34.24429702758789,1021.0320434570312,0.004272461,1,36,31797,16060,live,,,,,51.540938869652905,-0.008273044
4705,2026-08-07T01:54:10.000+01:00,2.8227665424346924,3.0177626609802246,3.0590007305145264,519,25.024032592773438,27.150062561035156,34.17715835571289,1021.0318603515625,0.001831055,1,40,31854,16093,live,,,,,51.540938869652905,-0.008273044
4706,2026-08-07T01:54:20.000+01:00,2.797415018081665,2.9885714054107666,3.026812791824341,518,25.013351440429688,27.203086853027344,34.12833023071289,1021.03125,0.006103516,1,42,31925,16118,live,,,,,51.540938869652905,-0.008273044
4707,2026-08-07T01:54:30.000+01:00,2.961294651031494,3.1625733375549316,3.201702117919922,517,25.072099685668945,27.246742248535156,34.079498291015625,1021.0284423828125,0.028076172,1,47,31948,16128,live,,,,,51.540938869652905,-0.008273044
4708,2026-08-07T01:54:40.000+01:00,2.663585662841797,2.8440117835998535,2.8784308433532715,516,25.117494583129883,27.278213500976562,33.960479736328125,1021.025634765625,0.028076172,1,51,32000,16156,live,,,,,51.540938869652905,-0.008273044
4709,2026-08-07T01:54:50.000+01:00,2.466949224472046,2.634242296218872,2.666354179382324,516,25.138856887817383,27.30657958984375,33.896392822265625,1021.023438,0.021972656,1,55,32025,16169,live,,,,,51.540938869652905,-0.008273044
4710,2026-08-07T01:55:00.000+01:00,2.8222100734710693,3.0161449909210205,3.056089401245117,515,25.170900344848633,27.356483459472656,33.879608154296875,1021.020751953125,0.026855469,1,61,32056,16185,live,,,,,51.540938869652905,-0.008273044
4711,2026-08-07T01:55:10.000+01:00,2.6764750480651855,2.8617360591888428,2.9013025760650635,515,25.202945709228516,27.389373779296875,33.79415512084961,1021.0184936523438,0.022583008,1,66,32071,16196,live,,,,,51.540938869652905,-0.008273044
4712,2026-08-07T01:55:20.000+01:00,2.5002472400665283,2.674544334411621,2.7130582332611084,514,25.269702911376953,27.426231384277344,33.73159408569336,1021.0142822265625,0.042114258,1,69,32117,16214,live,,,,,51.540938869652905,-0.008273044
4713,2026-08-07T01:55:30.000+01:00,2.4839611053466797,2.6571288108825684,2.695399045944214,514,25.264362335205078,27.461395263671875,33.68124008178711,1021.018066,0.037841797,1,73,32088,16230,live,,,,,51.540938869652905,-0.008273044
4714,2026-08-07T01:55:40.000+01:00,2.4916372299194336,2.666327476501465,2.705958127975464,513,25.33913230895996,27.496841430664062,33.595787048339844,1021.017822265625,0.002441406,1,78,32154,16238,live,,,,,51.540938869652905,-0.008273044
4715,2026-08-07T01:55:50.000+01:00,2.409496784210205,2.580530881881714,2.6214983463287354,512,25.400548934936523,27.529449462890625,33.517967224121094,1021.0154418945312,0.023803711,1,79,32155,16252,live,,,,,51.540938869652905,-0.008273044
4716,2026-08-07T01:56:00.000+01:00,2.3455276489257812,2.5138697624206543,2.5560741424560547,511,25.421911239624023,27.554962158203125,33.427940368652344,1021.0126342773438,0.028076172,1,81,32163,16271,live,,,,,51.540938869652905,-0.008273044
4717,2026-08-07T01:56:10.000+01:00,2.2398953437805176,2.3997442722320557,2.4389021396636963,510,25.432592391967773,27.579627990722656,33.35774612426758,1021.0101318359375,0.025024414,1,82,32194,16283,live,,,,,51.540938869652905,-0.008273044
4718,2026-08-07T01:56:20.000+01:00,2.5884652137756348,2.7703146934509277,2.811950684,510,25.46196746826172,27.61479949951172,33.27840042114258,1021.0084228515625,0.017089844,1,83,32178,16288,live,,,,,51.540938869652905,-0.008273044
