sequence_number,timestamp,pm1,pm25,pm10,co2,temperature,DPS_tem,humidity,pressure,pressure_change_pa_per_sec,nox,tvoc,voc_raw,nox_raw,source_flag,station_id,station_name,line_id,line_name,gps_lat,gps_lng
6012,2026-08-10T14:26:25.000+01:00,154.48097229003906,232.11683654785156,318.57763671875,1108.0,27.881284713745117,29.577804565429688,45.542076110839844,1019.8175048828125,,,,30609,0,live,,,,,51.52040417790267,-0.06042409102004704
6013,2026-08-10T14:26:35.000+01:00,153.24282836914062,232.24032592773438,320.5027770996094,1100.0,27.849241256713867,29.633094787597656,46.35232925415039,1019.8035888671875,0.13916015625,0.0,0.0,28895,16516,live,,,,,51.52040417790267,-0.06042409102004704
6014,2026-08-10T14:26:45.000+01:00,151.32733154296875,232.32098388671875,323.2318420410156,1096.0,27.782482147216797,29.707107543945312,46.88334655761719,1019.9541625976562,1.5057373046875,0.0,0.0,29658,16512,live,,,,,51.52040417790267,-0.06042409102004704
6015,2026-08-10T14:26:55.000+01:00,155.35940551757812,228.64988708496094,309.58319091796875,1095.0,27.74776840209961,29.77997589111328,47.29533767700195,1020.2245483398438,2.703857421875,0.0,0.0,30022,16555,live,,,,,51.52040417790267,-0.06042409102004704
6016,2026-08-10T14:27:05.000+01:00,160.56448364257812,236.66600036621094,320.7579040527344,1084.0,27.739757537841797,29.85199737548828,47.675289154052734,1020.4983520507812,2.738037109375,0.0,0.0,30228,16599,live,910GWCHAPXR,Whitechapel,,,,
6017,2026-08-10T14:27:15.000+01:00,166.7577362060547,243.33230590820312,327.571533203125,1078.0,27.734416961669922,29.93138885498047,47.9896240234375,1020.350830078125,1.4752197265625,0.0,4.0,30372,16641,live,,,,,51.52040417790267,-0.06042409102004704
6018,2026-08-10T14:27:25.000+01:00,170.05438232421875,244.6908416748047,326.2548522949219,1077.0,27.75844955444336,30.023544311523438,48.268863677978516,1019.617919921875,7.3291015625,1.0,26.0,30464,16674,live,,,,,51.52040417790267,-0.06042409102004704
6019,2026-08-10T14:27:36.000+01:00,171.99981689453125,254.48757934570312,345.78363037109375,1077.0,27.787822723388672,30.10974884033203,48.331424713134766,1019.5697021484375,0.482177734375,1.0,38.0,30537,16697,live,,,,,51.52040417790267,-0.06042409102004704
6020,2026-08-10T14:27:45.000+01:00,180.4580841064453,270.24407958984375,370.10601806640625,1072.0,27.819868087768555,30.1905517578125,48.51300811767578,1019.552490234375,0.172119140625,1.0,45.0,30635,16716,live,,,,,51.52040417790267,-0.06042409102004704
6021,2026-08-10T14:27:55.000+01:00,184.1797332763672,273.90643310546875,373.4249267578125,1072.0,27.873273849487305,30.26654815673828,48.49469757080078,1019.60107421875,0.48583984375,1.0,52.0,30571,16740,live,940GZZLUEUS,Euston,,,,
6022,2026-08-10T14:28:05.000+01:00,170.79379272460938,252.31231689453125,342.4766540527344,1064.0,27.93202018737793,30.375991821289062,47.93621826171875,1019.8404541015625,2.393798828125,1.0,56.0,30719,16753,live,,,,,51.52040417790267,-0.06042409102004704
6023,2026-08-10T14:28:15.000+01:00,158.77691650390625,238.1712188720703,326.5328063964844,1036.0,27.980087280273438,30.44915008544922,47.43877410888672,1019.8531494140625,,1.0,60.0,30697,16754,buffered,,,,,,
6024,2026-08-10T14:28:25.000+01:00,154.81777954101562,233.46278381347656,321.1681823730469,1004.0,28.0201416015625,30.536483764648438,47.10307312011719,1019.7514038085938,,1.0,63.0,30740,16748,buffered,,,,,,
6025,2026-08-10T14:28:35.000+01:00,159.09303283691406,243.14878845214844,337.3490905761719,976.0,28.049514770507812,30.681381225585938,46.85740280151367,1019.6837768554688,,1.0,64.0,30815,16746,buffered,,,,,,
6026,2026-08-10T14:28:45.000+01:00,159.8757781982422,244.14828491210938,338.5645446777344,943.0,28.017471313476562,30.80500030517578,46.396583557128906,1019.6592407226562,1.8121337890625,1.0,59.0,30895,16743,live,,,,,51.52040417790267,-0.06042409102004704
6027,2026-08-10T14:28:55.000+01:00,156.86082458496094,237.2272186279297,326.9495849609375,917.0,28.068208694458008,30.915870666503906,45.876251220703125,1019.8660278320312,2.06787109375,1.0,58.0,30946,16731,live,940GZZLUEUS,Euston,,,,
6028,2026-08-10T14:29:05.000+01:00,152.4141845703125,222.85934448242188,300.4275817871094,891.0,28.137636184692383,31.0548095703125,45.485618591308594,1020.0795288085938,2.135009765625,1.0,59.0,30986,16717,live,940GZZLUEUS,Euston,,,,
6029,2026-08-10T14:29:15.000+01:00,148.234619140625,217.07559204101562,292.92864990234375,875.0,28.212406158447266,31.16454315185547,45.10719299316406,1020.1568603515625,,1.0,62.0,30998,16717,buffered,,,,,,
6030,2026-08-10T14:29:25.000+01:00,145.79010009765625,212.37258911132812,285.5623779296875,862.0,28.28183364868164,31.256698608398438,44.81574630737305,1020.293212890625,,1.0,68.0,30978,16709,live,940GZZLUEUS,Euston,,,,
6031,2026-08-10T14:29:36.000+01:00,146.40444946289062,212.18975830078125,284.3327331542969,848.0,28.375295639038086,31.361892700195312,44.51667022705078,1019.936767578125,3.564453125,1.0,72.0,31071,16704,live,940GZZLUEUS,Euston,,,,
6032,2026-08-10T14:29:45.000+01:00,149.49685668945312,212.71243286132812,281.40069580078125,837.0,28.44739532470703,31.457168579101562,44.222171783447266,1019.9118041992188,0.2496337890625,1.0,77.0,30960,16707,live,940GZZLUEUS,Euston,,,,
6033,2026-08-10T14:29:55.000+01:00,143.47679138183594,210.43624877929688,284.2672119140625,827.0,28.583581924438477,31.512741088867188,43.9627685546875,1019.9525756835938,,1.0,83.0,31032,16705,buffered,,,,,,
6034,2026-08-10T14:30:05.000+01:00,140.57041931152344,204.39219665527344,274.4876708984375,825.0,28.65567970275879,31.57994842529297,43.94903564453125,1019.8782958984375,0.3350830078125,1.0,87.0,31011,16704,live,,,,,51.52040417790267,-0.06042409102004704
6035,2026-08-10T14:30:15.000+01:00,140.0139923095703,202.7693328857422,271.5640563964844,822.0,28.767833709716797,31.64459991455078,43.898681640625,1019.9886474609375,1.103515625,1.0,93.0,30994,16709,live,,,,,51.52040417790267,-0.06042409102004704
6036,2026-08-10T14:30:25.000+01:00,140.652099609375,200.5547332763672,265.7162170410156,822.0,28.847944259643555,31.703857421875,43.9749755859375,1020.1213989257812,1.3275146484375,1.0,100.0,30984,16713,live,,,,,51.52040417790267,-0.06042409102004704
6037,2026-08-10T14:30:35.000+01:00,139.10951232910156,202.2213134765625,271.529541015625,821.0,28.968109130859375,31.785804748535156,43.93072509765625,1020.1849365234375,0.6353759765625,1.0,103.0,30972,16728,live,,,,,51.52040417790267,-0.06042409102004704
6038,2026-08-10T14:30:45.000+01:00,139.81936645507812,202.63381958007812,271.51690673828125,824.0,29.066911697387695,31.8558349609375,43.95819091796875,1019.0779418945312,11.0699462890625,1.0,107.0,30965,16734,live,,,,,51.52040417790267,-0.06042409102004704
6039,2026-08-10T14:30:55.000+01:00,138.12042236328125,199.00230407714844,265.5780334472656,828.0,29.128328323364258,31.91595458984375,43.97955322265625,1019.9630737304688,8.851318359375,1.0,112.0,30944,16735,live,910GWCHAPXR,Whitechapel,,,,
6040,2026-08-10T14:31:05.000+01:00,136.12847900390625,194.00552368164062,256.9468078613281,852.0,29.181734085083008,31.990524291992188,43.91546630859375,1020.2045288085938,2.41455078125,1.0,107.0,31003,16747,live,,,,,51.52040417790267,-0.06042409102004704
6041,2026-08-10T14:31:15.000+01:00,139.06967163085938,195.84884643554688,257.19708251953125,893.0,29.261844635009766,32.05261993408203,43.971923828125,1019.95654296875,2.4798583984375,1.0,108.0,30856,16746,live,940GZZLUWRR,Warren Street,,,,
6042,2026-08-10T14:31:26.000+01:00,140.97592163085938,208.03555297851562,282.17315673828125,909.0,29.33661460876465,32.160369873046875,43.89715576171875,1020.0717163085938,1.1517333984375,1.0,104.0,31049,16757,live,940GZZLUWRR,Warren Street,,,,
6043,2026-08-10T14:31:35.000+01:00,171.49301147460938,259.6381530761719,358.0845947265625,913.0,29.3259334564209,32.19694519042969,43.2455940246582,1020.0572509765625,0.1446533203125,1.0,95.0,31024,16771,live,940GZZLUWRR,Warren Street,,,,
6044,2026-08-10T14:31:45.000+01:00,188.36663818359375,290.98291015625,406.40679931640625,911.0,29.3259334564209,32.288536071777344,42.90379333496094,1019.23779296875,8.194580078125,1.0,92.0,31018,16749,live,940GZZLUWRR,Warren Street,,,,
6045,2026-08-10T14:31:55.000+01:00,189.0225830078125,289.7549133300781,402.7624206542969,902.0,29.3900203704834,32.37019348144531,42.619972229003906,1018.3524780273438,8.8531494140625,1.0,91.0,31029,16737,live,940GZZLUWRR,Warren Street,,,,
6046,2026-08-10T14:32:05.000+01:00,181.22314453125,275.3648986816406,380.6488037109375,880.0,29.46746063232422,32.432861328125,42.413978576660156,1019.3143920898438,9.619140625,1.0,92.0,31017,16732,live,940GZZLUWRR,Warren Street,,,,
6047,2026-08-10T14:32:15.000+01:00,169.3065643310547,258.6927795410156,358.8578186035156,866.0,29.51018524169922,32.47595977783203,42.27054214477539,1020.0546264648438,7.40234375,1.0,96.0,31023,16727,live,940GZZLUWRR,Warren Street,,,,
6048,2026-08-10T14:32:25.000+01:00,162.15452575683594,246.70755004882812,341.3118591308594,844.0,29.54222869873047,32.48957061767578,42.14694595336914,1020.1796875,1.2506103515625,1.0,94.0,31039,16728,live,940GZZLUWRR,Warren Street,,,,
6049,2026-08-10T14:32:35.000+01:00,151.77896118164062,228.79013061523438,314.66064453125,834.0,29.547569274902344,32.555076599121094,41.992828369140625,1020.3139038085938,1.3421630859375,1.0,91.0,31068,16731,live,940GZZLUWRR,Warren Street,,,,
6050,2026-08-10T14:32:45.000+01:00,134.4622802734375,204.17822265625,282.1266174316406,830.0,29.6276798248291,32.61064910888672,41.82955551147461,1019.8187255859375,4.9517822265625,1.0,92.0,31070,16720,live,940GZZLUWRR,Warren Street,,,,
6051,2026-08-10T14:32:55.000+01:00,132.80845642089844,202.4957275390625,280.527587890625,824.0,29.705120086669922,32.66394805908203,41.608299255371094,1019.74365234375,0.750732421875,1.0,92.0,31128,16727,live,940GZZLUWRR,Warren Street,,,,
6052,2026-08-10T14:33:05.000+01:00,142.33473205566406,215.9789581298828,298.29815673828125,817.0,29.737163543701172,32.70648193359375,41.458763122558594,1019.6983032226562,0.4534912109375,1.0,97.0,31016,16730,live,940GZZLUWRR,Warren Street,,,,
6053,2026-08-10T14:33:16.000+01:00,140.95631408691406,215.17466735839844,298.3153991699219,808.0,29.854658126831055,32.776519775390625,41.25734329223633,1019.7823486328125,0.8404541015625,1.0,97.0,31070,16723,live,940GZZLUWRR,Warren Street,,,,
6054,2026-08-10T14:33:25.000+01:00,134.4469757080078,209.45997619628906,294.07025146484375,802.0,29.918745040893555,32.83464813232422,41.06202697753906,1019.8451538085938,0.6280517578125,1.0,96.0,31074,16718,live,940GZZLUWRR,Warren Street,,,,
6055,2026-08-10T14:33:35.000+01:00,129.06890869140625,200.8975372314453,281.8921813964844,798.0,29.9908447265625,32.88285827636719,40.90943908691406,1020.1303100585938,2.8515625,1.0,97.0,31093,16713,live,940GZZLUWRR,Warren Street,,,,
6056,2026-08-10T14:33:45.000+01:00,127.05035400390625,192.30934143066406,265.1889343261719,794.0,30.041580200195312,32.95317077636719,40.8514518737793,1020.1668701171875,0.3656005859375,1.0,93.0,31098,16720,live,940GZZLUWRR,Warren Street,,,,
6057,2026-08-10T14:33:55.000+01:00,124.0855941772461,185.333740234375,253.38417053222656,788.0,30.129701614379883,33.007896423339844,40.73395919799805,1020.0753784179688,0.9149169921875,1.0,98.0,31046,16717,live,940GZZLUWRR,Warren Street,,,,
6058,2026-08-10T14:34:05.000+01:00,122.85114288330078,178.78765869140625,240.24815368652344,788.0,30.191120147705078,33.07311248779297,40.65766525268555,1020.13037109375,0.5499267578125,1.0,105.0,31052,16717,live,940GZZLUWRR,Warren Street,,,,
6059,2026-08-10T14:34:15.000+01:00,111.6695556640625,163.2696533203125,220.0852508544922,790.0,30.276569366455078,33.12500762939453,40.57221221923828,1020.1649780273438,0.3460693359375,1.0,105.0,31045,16718,live,940GZZLUWRR,Warren Street,,,,
6060,2026-08-10T14:34:25.000+01:00,102.68319702148438,153.07281494140625,209.01560974121094,790.0,30.313955307006836,33.187103271484375,40.41504669189453,1020.1158447265625,0.4913330078125,1.0,102.0,31073,16718,live,940GZZLUWRR,Warren Street,,,,
6061,2026-08-10T14:34:35.000+01:00,96.6524658203125,142.93353271484375,194.14584350585938,789.0,30.388723373413086,33.23728942871094,40.296024322509766,1020.1203002929688,0.0445556640625,1.0,98.0,31119,16714,live,940GZZLUWRR,Warren Street,,,,
6062,2026-08-10T14:34:45.000+01:00,91.63736724853516,130.46685791015625,172.67152404785156,788.0,30.434118270874023,33.28407287597656,40.180057525634766,1020.2150268554688,0.947265625,1.0,94.0,31087,16716,live,940GZZLUWRR,Warren Street,,,,
6063,2026-08-10T14:34:55.000+01:00,86.59488677978516,126.78712463378906,171.06973266601562,781.0,30.51689910888672,33.34248352050781,39.864192962646484,1020.3078002929688,0.927734375,1.0,96.0,31103,16714,live,940GZZLUWRR,Warren Street,,,,
6064,2026-08-10T14:35:06.000+01:00,82.53215789794922,121.06951141357422,163.56475830078125,774.0,30.564966201782227,33.396644592285156,39.673458099365234,1020.3695068359375,0.6170654296875,1.0,93.0,31122,16704,live,940GZZLUWRR,Warren Street,,,,
6065,2026-08-10T14:35:15.000+01:00,85.2059097290039,125.4617691040039,169.92477416992188,768.0,30.653085708618164,33.45335388183594,39.60326385498047,1020.3387451171875,0.3076171875,1.0,95.0,31108,16700,live,940GZZLUWRR,Warren Street,,,,
6066,2026-08-10T14:35:25.000+01:00,96.92002868652344,145.32968139648438,199.19918823242188,765.0,30.695812225341797,33.502403259277344,39.48271942138672,1020.236572265625,1.021728515625,1.0,99.0,31088,16700,live,940GZZLUWRR,Warren Street,,,,
6067,2026-08-10T14:35:35.000+01:00,114.01824951171875,169.6416015625,231.34654235839844,764.0,30.749217987060547,33.54607391357422,39.47051239013672,1020.2794799804688,0.4290771484375,1.0,101.0,31086,16690,live,940GZZLUWRR,Warren Street,,,,
6068,2026-08-10T14:35:45.000+01:00,121.13409423828125,172.35531616210938,228.0106201171875,764.0,30.786602020263672,33.59654998779297,39.43083953857422,1020.3314819335938,0.52001953125,1.0,106.0,31055,16698,live,940GZZLUWRR,Warren Street,,,,
6069,2026-08-10T14:35:55.000+01:00,123.89464569091797,179.05018615722656,239.45327758789062,763.0,30.82398796081543,33.64531707763672,39.37285232543945,1020.5032958984375,1.7181396484375,1.0,112.0,31027,16695,live,940GZZLUWRR,Warren Street,,,,
6070,2026-08-10T14:36:05.000+01:00,127.32857513427734,182.46209716796875,242.58935546875,763.0,30.869382858276367,33.684730529785156,39.37285232543945,1021.0457763671875,5.4248046875,1.0,113.0,31010,16690,live,940GZZLUWRR,Warren Street,,,,
6071,2026-08-10T14:36:15.000+01:00,130.6033935546875,190.2623748779297,255.843505859375,764.0,30.912107467651367,33.73662567138672,39.38353729248047,1020.269287109375,7.764892578125,1.0,118.0,30917,16693,live,940GZZLUWRR,Warren Street,,,,
6072,2026-08-10T14:36:25.000+01:00,131.94619750976562,192.3794403076172,258.837158203125,765.0,30.949493408203125,33.804954528808594,39.2767219543457,1020.0825805664062,1.8670654296875,1.0,115.0,31080,16694,live,940GZZLUWRR,Warren Street,,,,
6073,2026-08-10T14:36:35.000+01:00,105.7745590209961,155.77963256835938,211.01551818847656,769.0,30.992218017578125,33.85174560546875,38.75181198120117,1020.0926513671875,0.1007080078125,1.0,105.0,31035,16690,live,940GZZLUWRR,Warren Street,,,,
